date,hour,cars_present
2021-08-21,8,52
2021-08-21,9,52
2021-08-21,10,56
2021-08-21,11,58
2021-08-21,12,61
2021-08-21,13,62
2021-08-21,14,58
2021-08-21,15,60
2021-08-21,16,63
2021-08-21,17,59
2021-08-21,18,60
2021-08-21,19,59
2021-08-21,20,66
2021-08-21,21,64
2021-08-21,22,66
2021-08-21,23,65
2021-08-22,0,60
2021-08-22,1,58
2021-08-22,2,61
2021-08-22,3,60
2021-08-22,4,55
2021-08-22,5,54
2021-08-22,6,56
2021-08-22,7,56
2021-08-22,8,55
2021-08-22,9,50
2021-08-22,10,49
2021-08-22,11,50
2021-08-22,12,50
2021-08-22,13,54
2021-08-22,14,53
2021-08-22,15,57
2021-08-22,16,57
2021-08-22,17,56
2021-08-22,18,54
2021-08-22,19,57
2021-08-22,20,61
2021-08-22,21,60
2021-08-22,22,53
2021-08-22,23,55
2021-08-23,0,65
2021-08-23,1,64
2021-08-23,2,61
2021-08-23,3,53
2021-08-23,4,54
2021-08-23,5,42
2021-08-23,6,44
2021-08-23,7,43
2021-08-23,8,44
2021-08-23,9,52
2021-08-23,10,50
2021-08-23,11,52
2021-08-23,12,53
2021-08-23,13,51
2021-08-23,14,57
2021-08-23,15,60
2021-08-23,16,65
2021-08-23,17,61
2021-08-23,18,66
2021-08-23,19,67
2021-08-23,20,67
2021-08-23,21,57
2021-08-23,22,54
2021-08-23,23,52
2021-08-24,0,48
2021-08-24,1,50
2021-08-24,2,54
2021-08-24,3,48
2021-08-24,4,52
2021-08-24,5,55
2021-08-24,6,56
2021-08-24,7,62
2021-08-24,8,68
2021-08-24,9,70
2021-08-24,10,71
2021-08-24,11,67
2021-08-24,12,60
2021-08-24,13,61
2021-08-24,14,65
2021-08-24,15,61
2021-08-24,16,55
2021-08-24,17,49
2021-08-24,18,60
2021-08-24,19,65
2021-08-24,20,66
2021-08-24,21,64
2021-08-24,22,62
2021-08-24,23,66
2021-08-25,0,62
2021-08-25,1,60
2021-08-25,2,57
2021-08-25,3,58
2021-08-25,4,48
2021-08-25,5,53
2021-08-25,6,51
2021-08-25,7,50
2021-08-25,8,54
2021-08-25,9,50
2021-08-25,10,50
2021-08-25,11,54
2021-08-25,12,58
2021-08-25,13,65
2021-08-25,14,68
2021-08-25,15,72
2021-08-25,16,73
2021-08-25,17,68
2021-08-25,18,74
2021-08-25,19,67
2021-08-25,20,68
2021-08-25,21,59
2021-08-25,22,66
2021-08-25,23,63
2021-08-26,0,65
2021-08-26,1,57
2021-08-26,2,54
2021-08-26,3,55
2021-08-26,4,50
2021-08-26,5,56
2021-08-26,6,55
2021-08-26,7,59
2021-08-26,8,63
2021-08-26,9,58
2021-08-26,10,60
2021-08-26,11,57
2021-08-26,12,59
2021-08-26,13,57
2021-08-26,14,54
2021-08-26,15,62
2021-08-26,16,59
2021-08-26,17,59
2021-08-26,18,55
2021-08-26,19,54
2021-08-26,20,59
2021-08-26,21,57
2021-08-26,22,65
2021-08-26,23,65
2021-08-27,0,69
2021-08-27,1,70
2021-08-27,2,72
2021-08-27,3,67
2021-08-27,4,58
2021-08-27,5,61
2021-08-27,6,65
2021-08-27,7,70
2021-08-27,8,57
2021-08-27,9,58
2021-08-27,10,54
2021-08-27,11,55
2021-08-27,12,50
2021-08-27,13,52
2021-08-27,14,52
2021-08-27,15,48
2021-08-27,16,47
2021-08-27,17,51
2021-08-27,18,50
2021-08-27,19,51
2021-08-27,20,56
2021-08-27,21,55
2021-08-27,22,51
2021-08-27,23,54
2021-08-28,0,56
2021-08-28,1,58
2021-08-28,2,53
2021-08-28,3,52
2021-08-28,4,48
2021-08-28,5,51
2021-08-28,6,51
2021-08-28,7,52
2021-08-28,8,47
2021-08-28,9,54
2021-08-28,10,57
2021-08-28,11,56
2021-08-28,12,54
2021-08-28,13,59
2021-08-28,14,66
2021-08-28,15,68
2021-08-28,16,70
2021-08-28,17,68
2021-08-28,18,73
2021-08-28,19,77
2021-08-28,20,81
2021-08-28,21,76
2021-08-28,22,69
2021-08-28,23,62
2021-08-29,0,59
2021-08-29,1,53
2021-08-29,2,57
2021-08-29,3,61
2021-08-29,4,65
2021-08-29,5,56
2021-08-29,6,63
2021-08-29,7,53
2021-08-29,8,60
2021-08-29,9,62
2021-08-29,10,59
2021-08-29,11,61
2021-08-29,12,65
2021-08-29,13,62
2021-08-29,14,64
2021-08-29,15,71
2021-08-29,16,65
2021-08-29,17,70
2021-08-29,18,67
2021-08-29,19,65
2021-08-29,20,64
2021-08-29,21,68
2021-08-29,22,66
2021-08-29,23,70
2021-08-30,0,69
2021-08-30,1,62
2021-08-30,2,61
2021-08-30,3,65
2021-08-30,4,66
2021-08-30,5,64
2021-08-30,6,66
2021-08-30,7,70
2021-08-30,8,78
2021-08-30,9,75
2021-08-30,10,77
2021-08-30,11,76
2021-08-30,12,74
2021-08-30,13,72
2021-08-30,14,67
2021-08-30,15,72
2021-08-30,16,70
2021-08-30,17,68
2021-08-30,18,71
2021-08-30,19,69
2021-08-30,20,69
2021-08-30,21,68
2021-08-30,22,71
2021-08-30,23,72
2021-08-31,0,76
2021-08-31,1,68
2021-08-31,2,70
2021-08-31,3,69
2021-08-31,4,71
2021-08-31,5,75
2021-08-31,6,73
2021-08-31,7,71
2021-08-31,8,63
2021-08-31,9,58
2021-08-31,10,55
2021-08-31,11,54
2021-08-31,12,57
2021-08-31,13,57
2021-08-31,14,59
2021-08-31,15,64
2021-08-31,16,64
2021-08-31,17,66
2021-08-31,18,64
2021-08-31,19,69
2021-08-31,20,63
2021-08-31,21,66
2021-08-31,22,65
2021-08-31,23,67
2021-09-01,0,70
2021-09-01,1,63
2021-09-01,2,64
2021-09-01,3,62
2021-09-01,4,57
2021-09-01,5,55
2021-09-01,6,53
2021-09-01,7,56
2021-09-01,8,57
2021-09-01,9,57
2021-09-01,10,64
2021-09-01,11,65
2021-09-01,12,65
2021-09-01,13,56
2021-09-01,14,58
2021-09-01,15,57
2021-09-01,16,54
2021-09-01,17,57
2021-09-01,18,58
2021-09-01,19,54
2021-09-01,20,54
2021-09-01,21,47
2021-09-01,22,47
2021-09-01,23,51
2021-09-02,0,56
2021-09-02,1,60
2021-09-02,2,63
2021-09-02,3,56
2021-09-02,4,54
2021-09-02,5,49
2021-09-02,6,51
2021-09-02,7,51
2021-09-02,8,50
2021-09-02,9,57
2021-09-02,10,58
2021-09-02,11,63
2021-09-02,12,62
2021-09-02,13,69
2021-09-02,14,71
2021-09-02,15,61
2021-09-02,16,57
2021-09-02,17,62
2021-09-02,18,60
2021-09-02,19,61
2021-09-02,20,54
2021-09-02,21,56
2021-09-02,22,64
2021-09-02,23,65
2021-09-03,0,57
2021-09-03,1,57
2021-09-03,2,57
2021-09-03,3,55
2021-09-03,4,51
2021-09-03,5,47
2021-09-03,6,42
2021-09-03,7,43
2021-09-03,8,47
2021-09-03,9,48
2021-09-03,10,51
2021-09-03,11,46
2021-09-03,12,47
2021-09-03,13,50
2021-09-03,14,56
2021-09-03,15,57
2021-09-03,16,55
2021-09-03,17,59
2021-09-03,18,58
2021-09-03,19,53
2021-09-03,20,53
2021-09-03,21,61
2021-09-03,22,60
2021-09-03,23,60
2021-09-04,0,65
2021-09-04,1,66
2021-09-04,2,58
2021-09-04,3,60
2021-09-04,4,56
2021-09-04,5,47
2021-09-04,6,55
2021-09-04,7,61
2021-09-04,8,54
2021-09-04,9,50
2021-09-04,10,53
2021-09-04,11,52
2021-09-04,12,61
2021-09-04,13,69
2021-09-04,14,72
2021-09-04,15,72
2021-09-04,16,70
2021-09-04,17,64
2021-09-04,18,65
2021-09-04,19,63
2021-09-04,20,61
2021-09-04,21,58
2021-09-04,22,54
2021-09-04,23,50
2021-09-05,0,51
2021-09-05,1,47
2021-09-05,2,52
2021-09-05,3,58
2021-09-05,4,55
2021-09-05,5,59
2021-09-05,6,61
2021-09-05,7,67
2021-09-05,8,72
2021-09-05,9,68
2021-09-05,10,66
2021-09-05,11,65
2021-09-05,12,67
2021-09-05,13,62
2021-09-05,14,65
2021-09-05,15,70
2021-09-05,16,71
2021-09-05,17,65
2021-09-05,18,59
2021-09-05,19,53
2021-09-05,20,48
2021-09-05,21,53
2021-09-05,22,53
2021-09-05,23,50
2021-09-06,0,52
2021-09-06,1,56
2021-09-06,2,62
2021-09-06,3,57
2021-09-06,4,52
2021-09-06,5,56
2021-09-06,6,57
2021-09-06,7,57
2021-09-06,8,54
2021-09-06,9,50
2021-09-06,10,56
2021-09-06,11,56
2021-09-06,12,59
2021-09-06,13,56
2021-09-06,14,56
2021-09-06,15,54
2021-09-06,16,53
2021-09-06,17,56
2021-09-06,18,57
2021-09-06,19,61
2021-09-06,20,60
2021-09-06,21,61
2021-09-06,22,53
2021-09-06,23,53
2021-09-07,0,51
2021-09-07,1,46
2021-09-07,2,55
2021-09-07,3,57
2021-09-07,4,53
2021-09-07,5,53
2021-09-07,6,57
2021-09-07,7,60
2021-09-07,8,57
2021-09-07,9,55
2021-09-07,10,57
2021-09-07,11,57
2021-09-07,12,59
2021-09-07,13,58
2021-09-07,14,60
2021-09-07,15,56
2021-09-07,16,60
2021-09-07,17,60
2021-09-07,18,63
2021-09-07,19,60
2021-09-07,20,67
2021-09-07,21,61
2021-09-07,22,64
2021-09-07,23,66
2021-09-08,0,63
2021-09-08,1,66
2021-09-08,2,67
2021-09-08,3,70
2021-09-08,4,60
2021-09-08,5,60
2021-09-08,6,61
2021-09-08,7,65
2021-09-08,8,69
2021-09-08,9,77
2021-09-08,10,78
2021-09-08,11,77
2021-09-08,12,73
2021-09-08,13,74
2021-09-08,14,71
2021-09-08,15,67
2021-09-08,16,60
2021-09-08,17,64
2021-09-08,18,68
2021-09-08,19,64
2021-09-08,20,60
2021-09-08,21,52
2021-09-08,22,51
2021-09-08,23,56
2021-09-09,0,55
2021-09-09,1,53
2021-09-09,2,58
2021-09-09,3,56
2021-09-09,4,56
2021-09-09,5,55
2021-09-09,6,56
2021-09-09,7,63
2021-09-09,8,61
2021-09-09,9,61
2021-09-09,10,68
2021-09-09,11,68
2021-09-09,12,63
2021-09-09,13,67
2021-09-09,14,66
2021-09-09,15,64
2021-09-09,16,65
2021-09-09,17,69
2021-09-09,18,63
2021-09-09,19,65
2021-09-09,20,68
2021-09-09,21,78
2021-09-09,22,85
2021-09-09,23,85
2021-09-10,0,80
2021-09-10,1,83
2021-09-10,2,82
2021-09-10,3,85
2021-09-10,4,84
2021-09-10,5,71
2021-09-10,6,64
2021-09-10,7,65
2021-09-10,8,68
2021-09-10,9,62
2021-09-10,10,62
2021-09-10,11,56
2021-09-10,12,49
2021-09-10,13,58
2021-09-10,14,56
2021-09-10,15,56
2021-09-10,16,60
2021-09-10,17,65
2021-09-10,18,60
2021-09-10,19,62
2021-09-10,20,59
2021-09-10,21,62
2021-09-10,22,58
2021-09-10,23,58
2021-09-11,0,54
2021-09-11,1,55
2021-09-11,2,59
2021-09-11,3,61
2021-09-11,4,52
2021-09-11,5,51
2021-09-11,6,54
2021-09-11,7,50
2021-09-11,8,47
2021-09-11,9,48
2021-09-11,10,48
2021-09-11,11,54
2021-09-11,12,57
2021-09-11,13,58
2021-09-11,14,61
2021-09-11,15,59
2021-09-11,16,57
2021-09-11,17,51
2021-09-11,18,52
2021-09-11,19,50
2021-09-11,20,46
2021-09-11,21,41
2021-09-11,22,48
2021-09-11,23,51
2021-09-12,0,57
2021-09-12,1,65
2021-09-12,2,66
2021-09-12,3,61
2021-09-12,4,67
2021-09-12,5,63
2021-09-12,6,67
2021-09-12,7,58
2021-09-12,8,66
2021-09-12,9,66
2021-09-12,10,66
2021-09-12,11,60
2021-09-12,12,57
2021-09-12,13,63
2021-09-12,14,57
2021-09-12,15,60
2021-09-12,16,55
2021-09-12,17,61
2021-09-12,18,61
2021-09-12,19,61
2021-09-12,20,62
2021-09-12,21,66
2021-09-12,22,71
2021-09-12,23,67
2021-09-13,0,71
2021-09-13,1,70
2021-09-13,2,70
2021-09-13,3,65
2021-09-13,4,60
2021-09-13,5,57
2021-09-13,6,58
2021-09-13,7,55
2021-09-13,8,51
2021-09-13,9,47
2021-09-13,10,50
2021-09-13,11,52
2021-09-13,12,56
2021-09-13,13,57
2021-09-13,14,65
2021-09-13,15,65
2021-09-13,16,61
2021-09-13,17,62
2021-09-13,18,57
2021-09-13,19,57
2021-09-13,20,52
2021-09-13,21,51
2021-09-13,22,56
2021-09-13,23,57
2021-09-14,0,58
2021-09-14,1,55
2021-09-14,2,61
2021-09-14,3,65
2021-09-14,4,58
2021-09-14,5,67
2021-09-14,6,68
2021-09-14,7,66
2021-09-14,8,59
2021-09-14,9,58
2021-09-14,10,53
2021-09-14,11,53
2021-09-14,12,49
2021-09-14,13,47
2021-09-14,14,48
2021-09-14,15,56
2021-09-14,16,66
2021-09-14,17,63
2021-09-14,18,62
2021-09-14,19,58
2021-09-14,20,56
2021-09-14,21,51
2021-09-14,22,48
2021-09-14,23,46
2021-09-15,0,54
2021-09-15,1,58
2021-09-15,2,59
2021-09-15,3,52
2021-09-15,4,51
2021-09-15,5,53
2021-09-15,6,50
2021-09-15,7,55
2021-09-15,8,53
2021-09-15,9,49
2021-09-15,10,53
2021-09-15,11,63
2021-09-15,12,62
2021-09-15,13,65
2021-09-15,14,69
2021-09-15,15,76
2021-09-15,16,76
2021-09-15,17,69
2021-09-15,18,67
2021-09-15,19,65
2021-09-15,20,70
2021-09-15,21,62
2021-09-15,22,64
2021-09-15,23,58
2021-09-16,0,59
2021-09-16,1,44
2021-09-16,2,41
2021-09-16,3,35
2021-09-16,4,30
2021-09-16,5,23
2021-09-16,6,15
2021-09-16,7,8
2021-09-16,8,4
2021-09-16,9,3
2021-09-16,10,1
2022-08-15,1,13
2022-08-15,2,16
2022-08-15,3,25
2022-08-15,4,35
2022-08-15,5,35
2022-08-15,6,40
2022-08-15,7,50
2022-08-15,8,57
2022-08-15,9,56
2022-08-15,10,58
2022-08-15,11,60
2022-08-15,12,56
2022-08-15,13,56
2022-08-15,14,59
2022-08-15,15,67
2022-08-15,16,60
2022-08-15,17,57
2022-08-15,18,55
2022-08-15,19,55
2022-08-15,20,60
2022-08-15,21,63
2022-08-15,22,62
2022-08-15,23,54
2022-08-16,0,50
2022-08-16,1,59
2022-08-16,2,55
2022-08-16,3,63
2022-08-16,4,69
2022-08-16,5,59
2022-08-16,6,59
2022-08-16,7,60
2022-08-16,8,62
2022-08-16,9,65
2022-08-16,10,67
2022-08-16,11,64
2022-08-16,12,61
2022-08-16,13,61
2022-08-16,14,62
2022-08-16,15,68
2022-08-16,16,65
2022-08-16,17,68
2022-08-16,18,70
2022-08-16,19,68
2022-08-16,20,64
2022-08-16,21,64
2022-08-16,22,61
2022-08-16,23,55
2022-08-17,0,54
2022-08-17,1,53
2022-08-17,2,56
2022-08-17,3,58
2022-08-17,4,56
2022-08-17,5,58
2022-08-17,6,54
2022-08-17,7,52
2022-08-17,8,54
2022-08-17,9,58
2022-08-17,10,55
2022-08-17,11,57
2022-08-17,12,56
2022-08-17,13,58
2022-08-17,14,58
2022-08-17,15,59
2022-08-17,16,62
2022-08-17,17,61
2022-08-17,18,55
2022-08-17,19,50
2022-08-17,20,50
2022-08-17,21,54
2022-08-17,22,61
2022-08-17,23,55
2022-08-18,0,62
2022-08-18,1,57
2022-08-18,2,63
2022-08-18,3,61
2022-08-18,4,58
2022-08-18,5,62
2022-08-18,6,65
2022-08-18,7,64
2022-08-18,8,61
2022-08-18,9,66
2022-08-18,10,68
2022-08-18,11,67
2022-08-18,12,69
2022-08-18,13,59
2022-08-18,14,56
2022-08-18,15,55
2022-08-18,16,56
2022-08-18,17,58
2022-08-18,18,57
2022-08-18,19,58
2022-08-18,20,57
2022-08-18,21,55
2022-08-18,22,54
2022-08-18,23,54
2022-08-19,0,49
2022-08-19,1,44
2022-08-19,2,39
2022-08-19,3,40
2022-08-19,4,38
2022-08-19,5,40
2022-08-19,6,48
2022-08-19,7,57
2022-08-19,8,57
2022-08-19,9,67
2022-08-19,10,67
2022-08-19,11,68
2022-08-19,12,71
2022-08-19,13,61
2022-08-19,14,62
2022-08-19,15,64
2022-08-19,16,62
2022-08-19,17,67
2022-08-19,18,66
2022-08-19,19,66
2022-08-19,20,66
2022-08-19,21,57
2022-08-19,22,51
2022-08-19,23,51
2022-08-20,0,54
2022-08-20,1,47
2022-08-20,2,50
2022-08-20,3,50
2022-08-20,4,57
2022-08-20,5,60
2022-08-20,6,56
2022-08-20,7,63
2022-08-20,8,63
2022-08-20,9,68
2022-08-20,10,72
2022-08-20,11,68
2022-08-20,12,68
2022-08-20,13,64
2022-08-20,14,64
2022-08-20,15,59
2022-08-20,16,56
2022-08-20,17,48
2022-08-20,18,52
2022-08-20,19,56
2022-08-20,20,54
2022-08-20,21,58
2022-08-20,22,61
2022-08-20,23,62
2022-08-21,0,57
2022-08-21,1,61
2022-08-21,2,62
2022-08-21,3,65
2022-08-21,4,63
2022-08-21,5,54
2022-08-21,6,53
2022-08-21,7,50
2022-08-21,8,53
2022-08-21,9,56
2022-08-21,10,56
2022-08-21,11,50
2022-08-21,12,53
2022-08-21,13,55
2022-08-21,14,66
2022-08-21,15,68
2022-08-21,16,62
2022-08-21,17,64
2022-08-21,18,66
2022-08-21,19,69
2022-08-21,20,77
2022-08-21,21,76
2022-08-21,22,73
2022-08-21,23,81
2022-08-22,0,90
2022-08-22,1,84
2022-08-22,2,79
2022-08-22,3,82
2022-08-22,4,79
2022-08-22,5,75
2022-08-22,6,72
2022-08-22,7,65
2022-08-22,8,69
2022-08-22,9,69
2022-08-22,10,60
2022-08-22,11,62
2022-08-22,12,61
2022-08-22,13,54
2022-08-22,14,50
2022-08-22,15,53
2022-08-22,16,58
2022-08-22,17,52
2022-08-22,18,51
2022-08-22,19,55
2022-08-22,20,54
2022-08-22,21,57
2022-08-22,22,56
2022-08-22,23,53
2022-08-23,0,59
2022-08-23,1,51
2022-08-23,2,51
2022-08-23,3,57
2022-08-23,4,57
2022-08-23,5,60
2022-08-23,6,58
2022-08-23,7,67
2022-08-23,8,76
2022-08-23,9,75
2022-08-23,10,82
2022-08-23,11,79
2022-08-23,12,76
2022-08-23,13,75
2022-08-23,14,77
2022-08-23,15,68
2022-08-23,16,62
2022-08-23,17,63
2022-08-23,18,59
2022-08-23,19,61
2022-08-23,20,58
2022-08-23,21,64
2022-08-23,22,60
2022-08-23,23,63
2022-08-24,0,61
2022-08-24,1,54
2022-08-24,2,50
2022-08-24,3,55
2022-08-24,4,52
2022-08-24,5,49
2022-08-24,6,55
2022-08-24,7,52
2022-08-24,8,58
2022-08-24,9,55
2022-08-24,10,55
2022-08-24,11,53
2022-08-24,12,48
2022-08-24,13,54
2022-08-24,14,54
2022-08-24,15,53
2022-08-24,16,50
2022-08-24,17,56
2022-08-24,18,54
2022-08-24,19,65
2022-08-24,20,66
2022-08-24,21,70
2022-08-24,22,65
2022-08-24,23,69
2022-08-25,0,64
2022-08-25,1,72
2022-08-25,2,70
2022-08-25,3,65
2022-08-25,4,69
2022-08-25,5,60
2022-08-25,6,57
2022-08-25,7,57
2022-08-25,8,57
2022-08-25,9,59
2022-08-25,10,51
2022-08-25,11,56
2022-08-25,12,58
2022-08-25,13,64
2022-08-25,14,62
2022-08-25,15,64
2022-08-25,16,69
2022-08-25,17,69
2022-08-25,18,69
2022-08-25,19,67
2022-08-25,20,61
2022-08-25,21,62
2022-08-25,22,59
2022-08-25,23,63
2022-08-26,0,61
2022-08-26,1,56
2022-08-26,2,64
2022-08-26,3,60
2022-08-26,4,64
2022-08-26,5,64
2022-08-26,6,63
2022-08-26,7,56
2022-08-26,8,63
2022-08-26,9,59
2022-08-26,10,61
2022-08-26,11,61
2022-08-26,12,60
2022-08-26,13,59
2022-08-26,14,57
2022-08-26,15,59
2022-08-26,16,57
2022-08-26,17,64
2022-08-26,18,64
2022-08-26,19,59
2022-08-26,20,61
2022-08-26,21,54
2022-08-26,22,58
2022-08-26,23,56
2022-08-27,0,56
2022-08-27,1,60
2022-08-27,2,56
2022-08-27,3,48
2022-08-27,4,48
2022-08-27,5,44
2022-08-27,6,43
2022-08-27,7,52
2022-08-27,8,52
2022-08-27,9,51
2022-08-27,10,52
2022-08-27,11,49
2022-08-27,12,51
2022-08-27,13,45
2022-08-27,14,44
2022-08-27,15,45
2022-08-27,16,47
2022-08-27,17,52
2022-08-27,18,52
2022-08-27,19,51
2022-08-27,20,53
2022-08-27,21,53
2022-08-27,22,54
2022-08-27,23,59
2022-08-28,0,54
2022-08-28,1,58
2022-08-28,2,56
2022-08-28,3,54
2022-08-28,4,57
2022-08-28,5,54
2022-08-28,6,53
2022-08-28,7,51
2022-08-28,8,50
2022-08-28,9,52
2022-08-28,10,56
2022-08-28,11,59
2022-08-28,12,53
2022-08-28,13,59
2022-08-28,14,61
2022-08-28,15,64
2022-08-28,16,66
2022-08-28,17,58
2022-08-28,18,60
2022-08-28,19,64
2022-08-28,20,61
2022-08-28,21,65
2022-08-28,22,69
2022-08-28,23,65
2022-08-29,0,57
2022-08-29,1,61
2022-08-29,2,60
2022-08-29,3,47
2022-08-29,4,44
2022-08-29,5,56
2022-08-29,6,59
2022-08-29,7,61
2022-08-29,8,69
2022-08-29,9,67
2022-08-29,10,64
2022-08-29,11,57
2022-08-29,12,54
2022-08-29,13,57
2022-08-29,14,56
2022-08-29,15,53
2022-08-29,16,45
2022-08-29,17,49
2022-08-29,18,47
2022-08-29,19,45
2022-08-29,20,53
2022-08-29,21,51
2022-08-29,22,50
2022-08-29,23,44
2022-08-30,0,47
2022-08-30,1,52
2022-08-30,2,55
2022-08-30,3,58
2022-08-30,4,50
2022-08-30,5,55
2022-08-30,6,61
2022-08-30,7,58
2022-08-30,8,59
2022-08-30,9,62
2022-08-30,10,61
2022-08-30,11,63
2022-08-30,12,57
2022-08-30,13,53
2022-08-30,14,49
2022-08-30,15,54
2022-08-30,16,50
2022-08-30,17,49
2022-08-30,18,51
2022-08-30,19,52
2022-08-30,20,54
2022-08-30,21,58
2022-08-30,22,60
2022-08-30,23,58
2022-08-31,0,60
2022-08-31,1,62
2022-08-31,2,61
2022-08-31,3,63
2022-08-31,4,61
2022-08-31,5,63
2022-08-31,6,56
2022-08-31,7,56
2022-08-31,8,61
2022-08-31,9,64
2022-08-31,10,62
2022-08-31,11,61
2022-08-31,12,58
2022-08-31,13,53
2022-08-31,14,58
2022-08-31,15,63
2022-08-31,16,68
2022-08-31,17,68
2022-08-31,18,70
2022-08-31,19,74
2022-08-31,20,68
2022-08-31,21,69
2022-08-31,22,72
2022-08-31,23,67
2022-09-01,0,62
2022-09-01,1,64
2022-09-01,2,67
2022-09-01,3,63
2022-09-01,4,64
2022-09-01,5,59
2022-09-01,6,55
2022-09-01,7,65
2022-09-01,8,62
2022-09-01,9,68
2022-09-01,10,67
2022-09-01,11,73
2022-09-01,12,72
2022-09-01,13,66
2022-09-01,14,75
2022-09-01,15,81
2022-09-01,16,75
2022-09-01,17,77
2022-09-01,18,68
2022-09-01,19,67
2022-09-01,20,66
2022-09-01,21,68
2022-09-01,22,63
2022-09-01,23,72
2022-09-02,0,70
2022-09-02,1,68
2022-09-02,2,71
2022-09-02,3,69
2022-09-02,4,77
2022-09-02,5,80
2022-09-02,6,75
2022-09-02,7,69
2022-09-02,8,54
2022-09-02,9,50
2022-09-02,10,37
2022-09-02,11,44
2022-09-02,12,48
2022-09-02,13,49
2022-09-02,14,49
2022-09-02,15,52
2022-09-02,16,58
2022-09-02,17,57
2022-09-02,18,62
2022-09-02,19,66
2022-09-02,20,62
2022-09-02,21,58
2022-09-02,22,60
2022-09-02,23,56
2022-09-03,0,62
2022-09-03,1,63
2022-09-03,2,64
2022-09-03,3,62
2022-09-03,4,63
2022-09-03,5,66
2022-09-03,6,59
2022-09-03,7,55
2022-09-03,8,57
2022-09-03,9,55
2022-09-03,10,58
2022-09-03,11,58
2022-09-03,12,63
2022-09-03,13,67
2022-09-03,14,64
2022-09-03,15,74
2022-09-03,16,73
2022-09-03,17,70
2022-09-03,18,75
2022-09-03,19,72
2022-09-03,20,74
2022-09-03,21,72
2022-09-03,22,64
2022-09-03,23,62
2022-09-04,0,62
2022-09-04,1,65
2022-09-04,2,62
2022-09-04,3,55
2022-09-04,4,49
2022-09-04,5,46
2022-09-04,6,50
2022-09-04,7,45
2022-09-04,8,47
2022-09-04,9,55
2022-09-04,10,56
2022-09-04,11,44
2022-09-04,12,50
