hour,day_of_week,is_weekend,day_of_year,Actual,Predicted
9,5,True,235,56,54.29
10,5,True,235,53,56.36
11,5,True,235,48,58.1
12,5,True,235,47,58.64
13,5,True,235,50,59.68
14,5,True,235,59,60.63
15,5,True,235,67,60.98
16,5,True,235,70,62.21
17,5,True,235,68,60.96
18,5,True,235,60,59.25
19,5,True,235,66,59.26
20,5,True,235,74,61.01
21,5,True,235,76,62.24
22,5,True,235,89,62.98
23,5,True,235,86,66.44
0,6,True,236,81,62.78
1,6,True,236,79,61.78
2,6,True,236,72,64.03
3,6,True,236,68,63.47
4,6,True,236,61,61.11
5,6,True,236,50,57.65
6,6,True,236,56,57.2
7,6,True,236,56,56.36
8,6,True,236,60,56.82
9,6,True,236,64,54.7
10,6,True,236,57,53.56
11,6,True,236,59,54.06
12,6,True,236,61,54.25
13,6,True,236,57,56.95
14,6,True,236,51,58.43
15,6,True,236,51,59.63
16,6,True,236,46,60.11
17,6,True,236,51,60.76
18,6,True,236,46,58.85
19,6,True,236,49,58.81
20,6,True,236,54,60.79
21,6,True,236,54,62.67
22,6,True,236,53,61.98
23,6,True,236,51,67.05
0,0,False,237,47,58.53
1,0,False,237,47,58.56
2,0,False,237,48,56.44
3,0,False,237,47,55.11
4,0,False,237,50,54.14
5,0,False,237,46,53.03
6,0,False,237,47,52.54
7,0,False,237,45,55.48
8,0,False,237,46,58.9
9,0,False,237,42,60.93
10,0,False,237,45,60.87
11,0,False,237,49,60.32
12,0,False,237,53,60.86
13,0,False,237,52,62.33
14,0,False,237,57,64.01
15,0,False,237,60,65.53
16,0,False,237,68,65.32
17,0,False,237,67,62.87
18,0,False,237,67,65.27
19,0,False,237,69,65.8
20,0,False,237,67,67.12
21,0,False,237,68,63.45
22,0,False,237,68,63.76
23,0,False,237,64,62.98
0,1,False,238,57,60.03
1,1,False,238,62,59.0
2,1,False,238,62,56.62
3,1,False,238,61,55.65
4,1,False,238,61,54.96
5,1,False,238,60,56.23
6,1,False,238,58,55.66
7,1,False,238,57,58.95
8,1,False,238,54,62.36
9,1,False,238,55,63.04
10,1,False,238,56,63.45
11,1,False,238,58,62.44
12,1,False,238,63,62.11
13,1,False,238,59,63.7
14,1,False,238,60,64.62
15,1,False,238,60,65.63
16,1,False,238,63,63.35
17,1,False,238,65,62.14
18,1,False,238,66,64.43
19,1,False,238,63,63.92
20,1,False,238,58,65.91
21,1,False,238,61,65.2
22,1,False,238,55,65.88
23,1,False,238,53,66.94
0,2,False,239,53,64.46
1,2,False,239,58,62.25
2,2,False,239,63,58.8
3,2,False,239,64,57.94
4,2,False,239,67,55.37
5,2,False,239,75,55.78
6,2,False,239,86,55.38
7,2,False,239,81,57.09
8,2,False,239,79,57.52
9,2,False,239,70,54.9
10,2,False,239,67,55.3
11,2,False,239,64,56.52
12,2,False,239,55,58.81
13,2,False,239,49,61.78
14,2,False,239,50,61.64
15,2,False,239,51,62.59
16,2,False,239,51,62.23
17,2,False,239,51,61.81
18,2,False,239,48,62.95
19,2,False,239,56,61.42
20,2,False,239,50,63.11
21,2,False,239,54,62.76
22,2,False,239,60,63.48
23,2,False,239,61,64.46
0,3,False,240,63,71.18
1,3,False,240,65,69.44
2,3,False,240,61,68.86
3,3,False,240,60,65.86
4,3,False,240,63,63.23
5,3,False,240,66,63.89
6,3,False,240,61,65.61
7,3,False,240,59,67.05
8,3,False,240,56,62.99
9,3,False,240,53,59.12
10,3,False,240,55,56.77
11,3,False,240,52,56.09
12,3,False,240,49,57.0
13,3,False,240,54,58.8
14,3,False,240,66,58.93
15,3,False,240,66,59.86
16,3,False,240,68,60.69
17,3,False,240,63,62.43
18,3,False,240,65,63.05
19,3,False,240,65,61.06
20,3,False,240,59,60.43
21,3,False,240,60,60.8
22,3,False,240,65,61.65
23,3,False,240,64,60.94
0,4,False,241,61,60.74
1,4,False,241,61,60.55
2,4,False,241,56,62.24
3,4,False,241,52,61.88
4,4,False,241,49,60.41
5,4,False,241,51,60.37
6,4,False,241,57,58.38
7,4,False,241,64,58.34
8,4,False,241,59,55.59
9,4,False,241,64,55.12
10,4,False,241,63,54.77
11,4,False,241,65,53.64
12,4,False,241,63,52.92
13,4,False,241,64,55.48
14,4,False,241,61,54.61
15,4,False,241,58,55.21
16,4,False,241,59,55.84
17,4,False,241,56,56.01
18,4,False,241,58,57.26
19,4,False,241,61,59.14
20,4,False,241,68,58.67
21,4,False,241,64,58.1
22,4,False,241,65,55.57
23,4,False,241,61,53.51
0,5,True,242,55,54.36
1,5,True,242,59,54.56
2,5,True,242,65,54.76
3,5,True,242,62,53.77
4,5,True,242,55,54.77
5,5,True,242,56,55.85
6,5,True,242,54,59.15
7,5,True,242,53,59.55
8,5,True,242,62,61.26
9,5,True,242,65,62.05
10,5,True,242,65,63.77
11,5,True,242,57,65.69
12,5,True,242,57,66.82
13,5,True,242,58,67.78
14,5,True,242,56,66.45
15,5,True,242,56,68.52
16,5,True,242,54,69.13
17,5,True,242,49,66.38
18,5,True,242,57,67.45
19,5,True,242,61,68.87
20,5,True,242,60,69.13
21,5,True,242,53,66.32
22,5,True,242,54,62.8
23,5,True,242,59,61.85
0,6,True,243,51,53.78
1,6,True,243,48,52.93
2,6,True,243,44,52.97
3,6,True,243,49,53.36
4,6,True,243,46,54.72
5,6,True,243,49,55.19
6,6,True,243,55,57.81
7,6,True,243,62,55.8
8,6,True,243,62,57.23
9,6,True,243,60,57.66
10,6,True,243,58,56.79
11,6,True,243,57,57.74
12,6,True,243,55,63.53
13,6,True,243,60,64.83
14,6,True,243,53,64.22
15,6,True,243,56,67.79
16,6,True,243,54,67.57
17,6,True,243,61,64.42
18,6,True,243,55,60.79
19,6,True,243,57,59.98
20,6,True,243,54,59.58
21,6,True,243,54,59.67
22,6,True,243,49,58.7
23,6,True,243,44,58.14
0,0,False,244,44,66.68
1,0,False,244,50,64.59
2,0,False,244,54,63.04
3,0,False,244,51,63.51
4,0,False,244,51,63.18
5,0,False,244,56,61.88
6,0,False,244,50,61.78
7,0,False,244,48,64.72
8,0,False,244,48,68.69
9,0,False,244,50,67.14
10,0,False,244,55,66.87
11,0,False,244,61,66.6
12,0,False,244,62,65.75
13,0,False,244,67,65.19
14,0,False,244,60,63.44
15,0,False,244,66,65.56
16,0,False,244,66,66.0
17,0,False,244,60,66.26
18,0,False,244,54,66.2
19,0,False,244,51,66.71
20,0,False,244,61,66.08
21,0,False,244,60,64.1
22,0,False,244,63,64.32
23,0,False,244,67,64.53
0,1,False,245,66,57.35
1,1,False,245,70,57.86
2,1,False,245,68,58.11
3,1,False,245,66,56.14
4,1,False,245,68,55.78
5,1,False,245,70,54.07
6,1,False,245,74,53.58
7,1,False,245,73,54.59
8,1,False,245,61,55.03
9,1,False,245,59,52.79
10,1,False,245,52,52.28
11,1,False,245,49,51.8
12,1,False,245,53,52.53
13,1,False,245,53,53.55
14,1,False,245,58,56.45
15,1,False,245,62,57.28
16,1,False,245,59,57.73
17,1,False,245,68,58.6
18,1,False,245,64,57.02
19,1,False,245,64,58.06
20,1,False,245,58,58.48
21,1,False,245,66,57.83
22,1,False,245,69,56.72
23,1,False,245,66,57.36
0,2,False,246,59,57.18
1,2,False,246,65,57.27
2,2,False,246,55,56.92
3,2,False,246,54,53.99
4,2,False,246,56,52.34
5,2,False,246,58,49.4
6,2,False,246,62,48.88
7,2,False,246,65,50.3
8,2,False,246,62,51.95
9,2,False,246,65,50.89
10,2,False,246,57,52.8
11,2,False,246,50,54.56
12,2,False,246,50,56.11
13,2,False,246,47,58.55
14,2,False,246,53,60.52
15,2,False,246,53,57.56
16,2,False,246,48,56.98
17,2,False,246,52,57.1
18,2,False,246,50,57.41
19,2,False,246,51,57.15
20,2,False,246,53,56.96
21,2,False,246,48,57.63
22,2,False,246,52,55.98
23,2,False,246,49,57.27
0,3,False,247,51,57.84
1,3,False,247,58,59.24
2,3,False,247,64,58.86
3,3,False,247,65,55.08
4,3,False,247,61,54.83
5,3,False,247,62,54.84
6,3,False,247,65,52.55
7,3,False,247,62,54.53
8,3,False,247,61,56.02
9,3,False,247,57,54.9
10,3,False,247,55,55.63
11,3,False,247,56,58.51
12,3,False,247,66,58.52
13,3,False,247,60,61.02
14,3,False,247,60,62.75
15,3,False,247,63,58.76
16,3,False,247,62,56.98
17,3,False,247,60,56.25
18,3,False,247,65,55.61
19,3,False,247,64,56.26
20,3,False,247,63,55.1
21,3,False,247,65,58.05
22,3,False,247,63,59.49
23,3,False,247,60,60.15
0,4,False,248,65,58.11
1,4,False,248,70,55.65
2,4,False,248,69,54.98
3,4,False,248,65,56.72
4,4,False,248,64,57.95
5,4,False,248,69,59.93
6,4,False,248,69,59.99
7,4,False,248,58,58.97
8,4,False,248,62,58.71
9,4,False,248,63,57.77
10,4,False,248,58,56.43
11,4,False,248,53,56.02
12,4,False,248,53,57.85
13,4,False,248,52,58.28
14,4,False,248,50,59.36
15,4,False,248,46,61.07
16,4,False,248,51,61.18
17,4,False,248,53,61.15
18,4,False,248,51,60.41
19,4,False,248,54,58.03
20,4,False,248,58,57.63
21,4,False,248,59,60.41
22,4,False,248,61,61.24
23,4,False,248,72,60.78
0,5,True,249,68,59.04
1,5,True,249,71,57.94
2,5,True,249,57,57.27
3,5,True,249,51,60.12
4,5,True,249,55,60.05
5,5,True,249,61,60.03
6,5,True,249,57,62.3
7,5,True,249,57,64.34
8,5,True,249,65,64.57
9,5,True,249,65,63.24
10,5,True,249,62,61.61
11,5,True,249,60,61.11
12,5,True,249,59,64.91
13,5,True,249,58,65.95
14,5,True,249,69,66.96
15,5,True,249,67,69.41
16,5,True,249,64,69.54
17,5,True,249,57,65.07
18,5,True,249,53,61.39
19,5,True,249,54,58.77
20,5,True,249,57,55.88
21,5,True,249,57,56.45
22,5,True,249,51,56.06
23,5,True,249,53,53.76
0,6,True,250,57,55.37
1,6,True,250,59,54.22
2,6,True,250,60,54.82
3,6,True,250,55,58.36
4,6,True,250,48,59.23
5,6,True,250,45,60.98
6,6,True,250,45,62.93
7,6,True,250,47,63.45
8,6,True,250,39,64.11
9,6,True,250,40,62.76
10,6,True,250,45,61.22
11,6,True,250,46,61.17
12,6,True,250,49,63.19
13,6,True,250,49,64.26
14,6,True,250,56,65.61
15,6,True,250,51,67.68
16,6,True,250,55,67.99
17,6,True,250,55,64.79
18,6,True,250,56,61.7
19,6,True,250,52,59.66
20,6,True,250,50,56.92
21,6,True,250,52,57.18
22,6,True,250,50,57.96
23,6,True,250,44,56.97
0,0,False,251,45,53.84
1,0,False,251,48,52.01
2,0,False,251,48,55.41
3,0,False,251,43,54.04
4,0,False,251,42,53.78
5,0,False,251,50,54.66
6,0,False,251,52,55.1
7,0,False,251,55,57.32
8,0,False,251,51,59.1
9,0,False,251,48,57.86
10,0,False,251,50,60.52
11,0,False,251,44,60.77
12,0,False,251,51,60.58
13,0,False,251,46,59.6
14,0,False,251,48,59.65
15,0,False,251,49,58.14
16,0,False,251,51,57.57
17,0,False,251,57,58.41
18,0,False,251,55,59.59
19,0,False,251,59,59.7
20,0,False,251,64,58.32
21,0,False,251,66,56.19
22,0,False,251,68,53.45
23,0,False,251,72,55.68
0,1,False,252,71,53.41
1,1,False,252,70,50.55
2,1,False,252,66,54.24
3,1,False,252,70,55.89
4,1,False,252,63,54.93
5,1,False,252,61,54.77
6,1,False,252,59,55.88
7,1,False,252,60,58.7
8,1,False,252,66,59.61
9,1,False,252,63,59.45
10,1,False,252,55,60.59
11,1,False,252,55,61.36
12,1,False,252,51,60.16
13,1,False,252,53,59.24
14,1,False,252,63,59.11
15,1,False,252,62,57.46
16,1,False,252,62,58.1
17,1,False,252,54,59.41
18,1,False,252,51,59.71
19,1,False,252,53,60.18
20,1,False,252,58,61.09
21,1,False,252,61,60.97
22,1,False,252,58,62.36
23,1,False,252,57,65.64
0,2,False,253,51,65.41
1,2,False,253,52,65.77
2,2,False,253,49,65.73
3,2,False,253,47,66.07
4,2,False,253,50,63.55
5,2,False,253,54,61.45
6,2,False,253,52,60.55
7,2,False,253,55,62.25
8,2,False,253,63,65.46
9,2,False,253,58,69.01
10,2,False,253,58,68.83
11,2,False,253,54,67.49
12,2,False,253,58,64.24
13,2,False,253,60,64.32
14,2,False,253,59,63.44
15,2,False,253,59,61.86
16,2,False,253,56,61.13
17,2,False,253,56,63.15
18,2,False,253,58,62.34
19,2,False,253,63,62.14
20,2,False,253,62,62.94
21,2,False,253,62,63.33
22,2,False,253,60,63.74
23,2,False,253,67,65.86
0,3,False,254,69,64.41
1,3,False,254,63,64.92
2,3,False,254,60,65.08
3,3,False,254,57,63.6
4,3,False,254,56,64.5
5,3,False,254,63,62.24
6,3,False,254,59,61.11
7,3,False,254,61,62.83
8,3,False,254,63,61.97
9,3,False,254,64,62.19
10,3,False,254,64,61.86
11,3,False,254,71,60.12
12,3,False,254,65,58.15
13,3,False,254,68,56.59
14,3,False,254,67,56.92
15,3,False,254,68,57.43
16,3,False,254,56,57.77
17,3,False,254,50,60.75
18,3,False,254,52,60.73
19,3,False,254,59,60.66
20,3,False,254,60,64.15
21,3,False,254,51,68.54
22,3,False,254,52,70.62
23,3,False,254,55,72.54
0,4,False,255,58,65.6
1,4,False,255,57,67.33
2,4,False,255,61,67.46
3,4,False,255,61,67.17
4,4,False,255,66,64.76
5,4,False,255,66,60.32
6,4,False,255,68,58.01
7,4,False,255,72,57.78
8,4,False,255,79,57.9
9,4,False,255,81,57.68
10,4,False,255,85,56.42
11,4,False,255,80,55.66
12,4,False,255,78,53.11
13,4,False,255,74,53.94
14,4,False,255,71,54.45
15,4,False,255,70,54.7
16,4,False,255,64,57.55
17,4,False,255,67,60.22
18,4,False,255,68,58.99
19,4,False,255,67,60.59
20,4,False,255,70,59.36
21,4,False,255,69,60.78
22,4,False,255,62,63.43
23,4,False,255,62,61.29
0,5,True,256,68,59.24
1,5,True,256,66,61.94
2,5,True,256,65,62.89
3,5,True,256,71,61.18
4,5,True,256,63,60.62
5,5,True,256,62,58.33
6,5,True,256,67,58.95
7,5,True,256,61,55.98
8,5,True,256,61,55.99
9,5,True,256,61,56.38
10,5,True,256,64,54.99
11,5,True,256,62,55.72
12,5,True,256,60,56.2
13,5,True,256,56,56.5
14,5,True,256,63,56.91
15,5,True,256,60,57.2
16,5,True,256,61,55.66
17,5,True,256,66,53.18
18,5,True,256,55,52.45
19,5,True,256,57,51.22
20,5,True,256,56,50.62
21,5,True,256,55,49.36
22,5,True,256,55,52.22
23,5,True,256,56,53.48
0,6,True,257,56,59.63
1,6,True,257,68,61.69
2,6,True,257,71,61.05
3,6,True,257,71,58.71
4,6,True,257,60,58.32
5,6,True,257,57,55.64
6,6,True,257,59,56.52
7,6,True,257,59,55.32
8,6,True,257,57,57.12
9,6,True,257,60,57.42
10,6,True,257,65,57.16
11,6,True,257,59,56.36
12,6,True,257,62,55.44
13,6,True,257,64,57.01
14,6,True,257,62,54.67
15,6,True,257,55,55.42
16,6,True,257,51,53.83
17,6,True,257,49,55.54
18,6,True,257,47,56.5
19,6,True,257,48,56.48
20,6,True,257,48,57.62
21,6,True,257,46,59.36
22,6,True,257,42,61.71
23,6,True,257,44,59.21
0,0,False,258,51,59.78
1,0,False,258,48,60.55
2,0,False,258,58,60.37
3,0,False,258,48,56.99
4,0,False,258,51,54.39
5,0,False,258,56,54.73
6,0,False,258,60,54.14
7,0,False,258,60,55.32
8,0,False,258,59,53.37
9,0,False,258,55,50.19
10,0,False,258,60,51.94
11,0,False,258,61,56.84
12,0,False,258,61,58.12
13,0,False,258,54,60.14
14,0,False,258,58,63.01
15,0,False,258,54,67.23
16,0,False,258,62,68.8
17,0,False,258,59,65.96
18,0,False,258,66,64.04
19,0,False,258,63,62.03
20,0,False,258,59,61.69
21,0,False,258,60,57.89
22,0,False,258,66,57.86
23,0,False,258,69,56.67
0,1,False,259,69,63.71
1,1,False,259,57,53.77
2,1,False,259,48,43.9
3,1,False,259,37,36.51
4,1,False,259,27,31.37
5,1,False,259,19,26.39
6,1,False,259,15,17.67
7,1,False,259,12,11.5
8,1,False,259,5,5.85
9,1,False,259,4,3.27
10,1,False,259,3,2.05
11,1,False,259,1,9.85
